batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
Sameer Rizvi,2024,2024,51,43,4,2,4,118.6046511627907,12.75
Sameer Rizvi,2025,2025,121,79,11,7,3,153.1645569620253,40.333333333333336
Sameer Rizvi,2026,2026,249,164,15,17,6,151.82926829268294,41.5
Sandeep Sharma,2013,2013,0,1,0,0,0,0.0,0.0
Sandeep Sharma,2014,2014,2,5,0,0,0,40.0,2.0
Sandeep Sharma,2015,2015,9,14,1,0,1,64.28571428571429,9.0
Sandeep Sharma,2016,2016,8,9,0,0,0,88.88888888888889,8.0
Sandeep Sharma,2017,2017,7,6,0,0,0,116.66666666666667,7.0
Sandeep Sharma,2018,2018,0,4,0,0,2,0.0,0.0
Sandeep Sharma,2019,2019,6,3,1,0,0,200.0,6.0
Sandeep Sharma,2020/21,2020,12,15,1,0,2,80.0,6.0
Sandeep Sharma,2021,2021,8,7,1,0,0,114.28571428571428,8.0
Sandeep Sharma,2023,2023,2,6,0,0,0,33.33333333333333,2.0
Sandeep Sharma,2025,2025,6,5,0,0,0,120.0,6.0
Sanvir Singh,2023,2023,11,9,1,1,1,122.22222222222223,11.0
Sanvir Singh,2024,2024,14,12,1,0,1,116.66666666666667,14.0
Saurav Chauhan,2024,2024,18,15,1,1,3,120.0,6.0
Sediqullah Atal,2025,2025,22,16,0,2,1,137.5,22.0
Shahbaz Ahmed,2020/21,2020,1,1,0,0,0,100.0,1.0
Shahbaz Ahmed,2021,2021,59,53,4,2,7,111.32075471698113,8.428571428571429
Shahbaz Ahmed,2022,2022,219,181,14,9,8,120.99447513812154,27.375
Shahbaz Ahmed,2023,2023,42,39,3,1,4,107.6923076923077,10.5
Shahbaz Ahmed,2024,2024,215,166,7,13,10,129.5180722891566,21.5
Shahbaz Ahmed,2025,2025,9,8,1,0,1,112.5,9.0
Shahbaz Ahmed,2026,2026,15,16,1,0,0,93.75,15.0
Shahid Afridi,2007/08,2007,81,46,7,6,8,176.08695652173913,10.125
Shakib Al Hasan,2011,2011,29,22,4,0,2,131.8181818181818,14.5
Shakib Al Hasan,2012,2012,91,74,6,3,6,122.97297297297298,15.166666666666666
Shakib Al Hasan,2014,2014,229,154,22,7,9,148.70129870129873,25.444444444444443
