batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
VR Iyer,2021,2021,370,288,37,14,9,128.47222222222223,41.111111111111114
VR Iyer,2022,2022,182,169,17,7,11,107.6923076923077,16.545454545454547
VR Iyer,2023,2023,404,277,32,21,14,145.84837545126354,28.857142857142858
VR Iyer,2024,2024,370,233,35,19,9,158.79828326180257,41.111111111111114
VR Iyer,2025,2025,142,102,15,4,7,139.2156862745098,20.285714285714285
VR Iyer,2026,2026,41,30,2,2,1,136.66666666666666,41.0
VRV Singh,2007/08,2007,4,3,1,0,1,133.33333333333331,4.0
VS Malik,2009/10,2009,6,5,1,0,1,120.0,6.0
VS Malik,2014,2014,1,2,0,0,0,50.0,1.0
VS Yeligati,2007/08,2007,2,2,0,0,1,100.0,2.0
VVS Laxman,2007/08,2007,155,132,22,1,5,117.42424242424244,31.0
VVS Laxman,2009,2009,19,33,1,1,5,57.57575757575758,3.8
VVS Laxman,2009/10,2009,64,60,7,1,4,106.66666666666667,16.0
VVS Laxman,2011,2011,44,42,3,2,2,104.76190476190477,22.0
VY Mahesh,2007/08,2007,15,27,0,0,2,55.55555555555556,7.5
Vijaykumar Vyshak,2023,2023,13,9,0,1,1,144.44444444444443,13.0
Vijaykumar Vyshak,2024,2024,1,3,0,0,1,33.33333333333333,1.0
Vijaykumar Vyshak,2026,2026,2,4,0,0,0,50.0,2.0
Virat Singh,2021,2021,15,26,1,0,3,57.692307692307686,5.0
Vishnu Vinod,2017,2017,19,26,1,1,3,73.07692307692307,6.333333333333333
Vishnu Vinod,2023,2023,37,31,2,2,3,119.35483870967742,12.333333333333334
Vivrant Sharma,2023,2023,69,47,9,2,1,146.80851063829786,69.0
W Jaffer,2007/08,2007,115,104,12,3,5,110.57692307692308,23.0
W Jaffer,2009,2009,15,17,2,0,2,88.23529411764706,7.5
WA Mota,2007/08,2007,26,27,2,0,1,96.29629629629629,26.0
WA Mota,2009,2009,30,48,0,0,4,62.5,7.5
WD Parnell,2011,2011,37,39,2,1,3,94.87179487179486,12.333333333333334
WD Parnell,2012,2012,19,27,2,0,4,70.37037037037037,4.75
WD Parnell,2013,2013,5,7,0,0,1,71.42857142857143,5.0
WD Parnell,2014,2014,2,2,0,0,1,100.0,2.0
WD Parnell,2023,2023,2,5,0,0,1,40.0,2.0
WG Jacks,2024,2024,230,131,16,18,6,175.57251908396947,38.333333333333336
WG Jacks,2025,2025,233,172,22,11,10,135.46511627906978,23.3
WG Jacks,2026,2026,57,31,5,4,2,183.8709677419355,28.5
WP Saha,2007/08,2007,159,119,12,7,6,133.61344537815125,26.5
WP Saha,2009,2009,72,41,3,4,3,175.609756097561,24.0
WP Saha,2009/10,2009,67,53,9,1,3,126.41509433962264,22.333333333333332
WP Saha,2011,2011,68,63,2,4,1,107.93650793650794,68.0
WP Saha,2012,2012,6,14,0,0,1,42.857142857142854,6.0
WP Saha,2013,2013,70,56,6,4,3,125.0,23.333333333333332
WP Saha,2014,2014,362,249,33,18,12,145.38152610441767,30.166666666666668
WP Saha,2015,2015,249,197,16,10,12,126.3959390862944,20.75
WP Saha,2016,2016,270,212,29,1,11,127.35849056603774,24.545454545454547
WP Saha,2017,2017,234,187,20,8,9,125.13368983957218,26.0
WP Saha,2018,2018,122,102,17,1,8,119.6078431372549,15.25
WP Saha,2019,2019,86,53,13,1,5,162.26415094339623,17.2
WP Saha,2020/21,2020,214,153,24,5,2,139.86928104575162,107.0
WP Saha,2021,2021,131,140,7,5,9,93.57142857142857,14.555555555555555
WP Saha,2022,2022,317,259,40,7,9,122.39382239382239,35.22222222222222
WP Saha,2023,2023,371,287,47,8,15,129.26829268292684,24.733333333333334
WP Saha,2024,2024,136,115,18,3,9,118.26086956521739,15.11111111111111
WPUJC Vaas,2007/08,2007,21,18,0,1,2,116.66666666666667,10.5
WPUJC Vaas,2009,2009,30,21,1,1,1,142.85714285714286,30.0
WPUJC Vaas,2009/10,2009,30,34,1,1,4,88.23529411764706,7.5
Washington Sundar,2017,2017,9,12,0,0,0,75.0,9.0
Washington Sundar,2018,2018,65,38,5,4,4,171.05263157894737,16.25
Washington Sundar,2019,2019,1,3,0,0,2,33.33333333333333,0.5
Washington Sundar,2020/21,2020,111,95,10,2,6,116.8421052631579,18.5
Washington Sundar,2021,2021,31,47,2,0,4,65.95744680851064,7.75
Washington Sundar,2022,2022,101,69,9,3,7,146.3768115942029,14.428571428571429
Washington Sundar,2023,2023,60,60,6,0,3,100.0,20.0
Washington Sundar,2024,2024,0,1,0,0,1,0.0,0.0
Washington Sundar,2025,2025,133,80,10,7,5,166.25,26.6
Washington Sundar,2026,2026,209,141,23,6,6,148.22695035460993,34.833333333333336
X Thalaivan Sargunam,2013,2013,10,17,0,0,1,58.82352941176471,10.0
XC Bartlett,2025,2025,11,15,1,0,1,73.33333333333333,11.0
XC Bartlett,2026,2026,11,6,0,1,1,183.33333333333331,11.0
Y Gnaneswara Rao,2011,2011,19,17,3,0,1,111.76470588235294,19.0
Y Nagar,2009,2009,20,20,1,0,1,100.0,20.0
Y Nagar,2009/10,2009,1,6,0,0,1,16.666666666666664,1.0
Y Nagar,2011,2011,111,100,6,6,8,111.00000000000001,13.875
Y Nagar,2012,2012,153,133,13,3,5,115.0375939849624,30.6
Y Prithvi Raj,2019,2019,0,1,0,0,0,0.0,0.0
Y Venugopal Rao,2007/08,2007,288,210,22,15,8,137.14285714285714,36.0
Y Venugopal Rao,2009,2009,124,114,6,3,10,108.77192982456141,12.4
Y Venugopal Rao,2009/10,2009,34,43,3,1,4,79.06976744186046,8.5
Y Venugopal Rao,2011,2011,336,280,30,13,12,120.0,28.0
Y Venugopal Rao,2012,2012,132,126,8,5,5,104.76190476190477,26.4
Y Venugopal Rao,2014,2014,71,63,8,0,3,112.6984126984127,23.666666666666668
YA Abdulla,2009/10,2009,0,1,0,0,0,0.0,0.0
YBK Jaiswal,2020/21,2020,40,44,2,2,3,90.9090909090909,13.333333333333334
YBK Jaiswal,2021,2021,249,168,32,10,10,148.21428571428572,24.9
YBK Jaiswal,2022,2022,258,194,28,10,10,132.98969072164948,25.8
YBK Jaiswal,2023,2023,625,382,83,26,12,163.61256544502618,52.083333333333336
YBK Jaiswal,2024,2024,435,279,54,16,14,155.91397849462365,31.071428571428573
YBK Jaiswal,2025,2025,559,350,60,28,13,159.71428571428572,43.0
YBK Jaiswal,2026,2026,312,196,36,14,8,159.18367346938774,39.0
YK Pathan,2007/08,2007,435,243,43,25,12,179.01234567901236,36.25
YK Pathan,2009,2009,261,187,25,14,12,139.57219251336898,21.75
YK Pathan,2009/10,2009,333,201,22,24,11,165.67164179104478,30.272727272727273
YK Pathan,2011,2011,283,201,24,13,9,140.7960199004975,31.444444444444443
YK Pathan,2012,2012,194,169,10,7,11,114.79289940828403,17.636363636363637
YK Pathan,2013,2013,332,240,30,15,12,138.33333333333334,27.666666666666668
YK Pathan,2014,2014,268,165,15,20,9,162.42424242424244,29.77777777777778
YK Pathan,2015,2015,312,231,29,12,7,135.06493506493507,44.57142857142857
YK Pathan,2016,2016,361,248,33,13,7,145.56451612903226,51.57142857142857
YK Pathan,2017,2017,143,115,9,6,8,124.34782608695652,17.875
YK Pathan,2018,2018,260,200,22,11,9,130.0,28.88888888888889
YK Pathan,2019,2019,40,45,1,1,3,88.88888888888889,13.333333333333334
YS Chahal,2014,2014,1,1,0,0,0,100.0,1.0
YS Chahal,2015,2015,1,1,0,0,0,100.0,1.0
YS Chahal,2017,2017,13,26,0,0,2,50.0,6.5
YS Chahal,2018,2018,0,4,0,0,0,0.0,0.0
YS Chahal,2019,2019,6,16,0,0,2,37.5,3.0
YS Chahal,2020/21,2020,1,3,0,0,1,33.33333333333333,1.0
YS Chahal,2021,2021,10,27,0,0,0,37.03703703703704,10.0
YS Chahal,2022,2022,5,8,0,0,1,62.5,5.0
YV Dhull,2023,2023,16,23,1,0,3,69.56521739130434,5.333333333333333
YV Takawale,2007/08,2007,70,65,7,2,2,107.6923076923077,35.0
YV Takawale,2009,2009,18,22,2,0,1,81.81818181818183,18.0
YV Takawale,2014,2014,104,91,17,1,5,114.28571428571428,20.8
Yash Dayal,2022,2022,0,1,0,0,1,0.0,0.0
Yash Dayal,2025,2025,4,8,0,0,2,50.0,2.0
Yashpal Singh,2009,2009,47,66,5,0,4,71.21212121212122,11.75
Younis Khan,2007/08,2007,3,7,0,0,1,42.857142857142854,3.0
Yudhvir Singh,2023,2023,1,2,0,0,2,50.0,0.5
Yudhvir Singh,2024,2024,21,14,1,2,2,150.0,10.5
Yuvraj Singh,2007/08,2007,299,184,24,19,12,162.5,24.916666666666668
Yuvraj Singh,2009,2009,340,294,25,16,12,115.64625850340136,28.333333333333332
Yuvraj Singh,2009/10,2009,259,201,21,14,12,128.85572139303483,21.583333333333332
Yuvraj Singh,2011,2011,343,261,24,18,9,131.4176245210728,38.111111111111114
Yuvraj Singh,2013,2013,238,190,14,15,12,125.26315789473684,19.833333333333332
Yuvraj Singh,2014,2014,376,278,22,28,10,135.25179856115108,37.6
Yuvraj Singh,2015,2015,248,210,23,10,13,118.0952380952381,19.076923076923077
Yuvraj Singh,2016,2016,236,179,22,13,10,131.84357541899442,23.6
Yuvraj Singh,2017,2017,252,177,30,8,10,142.3728813559322,25.2
Yuvraj Singh,2018,2018,65,73,6,2,5,89.04109589041096,13.0
Yuvraj Singh,2019,2019,98,75,7,6,4,130.66666666666666,24.5
Z Khan,2007/08,2007,34,43,4,0,4,79.06976744186046,8.5
Z Khan,2009,2009,8,11,0,0,1,72.72727272727273,8.0
Z Khan,2009/10,2009,24,13,3,1,2,184.6153846153846,12.0
Z Khan,2011,2011,21,24,2,0,2,87.5,10.5
Z Khan,2012,2012,12,17,1,0,2,70.58823529411765,6.0
Z Khan,2014,2014,8,7,0,1,1,114.28571428571428,8.0
Z Khan,2016,2016,6,13,1,0,2,46.15384615384615,3.0
Z Khan,2017,2017,4,13,0,0,1,30.76923076923077,4.0
