bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
R Dhawan,2022,2022,119,164,6,5,0,33,8.268907563025211,27.333333333333332,27.73109243697479
R Dhawan,2023,2023,42,64,1,0,0,20,9.142857142857142,64.0,47.61904761904761
R Dhawan,2024,2024,19,39,0,1,0,5,12.31578947368421,,26.31578947368421
R Goyal,2023,2023,24,34,0,0,0,7,8.5,,29.166666666666668
R McLaren,2009/10,2009,215,281,5,10,1,78,7.841860465116278,56.2,36.27906976744186
R McLaren,2011,2011,111,182,5,1,2,33,9.837837837837839,36.4,29.72972972972973
R McLaren,2013,2013,46,95,4,4,0,18,12.391304347826086,23.75,39.130434782608695
R Ninan,2011,2011,36,65,3,0,0,8,10.833333333333334,21.666666666666668,22.22222222222222
R Parag,2019,2019,84,121,2,0,0,18,8.642857142857142,60.5,21.428571428571427
R Parag,2020/21,2020,13,27,0,1,0,3,12.461538461538462,,23.076923076923077
R Parag,2021,2021,39,73,2,2,0,7,11.23076923076923,36.5,17.94871794871795
R Parag,2022,2022,26,59,1,2,0,3,13.615384615384617,59.0,11.538461538461538
R Parag,2024,2024,19,27,0,1,0,5,8.526315789473685,,26.31578947368421
R Parag,2025,2025,128,171,4,8,0,30,8.015625,42.75,23.4375
R Parag,2026,2026,25,38,2,1,0,5,9.12,19.0,20.0
R Powell,2022,2022,7,17,0,1,0,0,14.571428571428571,,0.0
R Powell,2023,2023,14,18,1,1,1,5,7.7142857142857135,18.0,35.714285714285715
R Rampaul,2013,2013,241,282,15,7,2,120,7.020746887966806,18.8,49.79253112033195
R Rampaul,2014,2014,37,37,2,1,0,18,6.0,18.5,48.64864864864865
R Ravindra,2024,2024,12,7,0,0,0,5,3.5,,41.66666666666667
R Sai Kishore,2022,2022,98,122,6,2,0,27,7.469387755102042,20.333333333333332,27.55102040816326
R Sai Kishore,2024,2024,93,137,7,3,0,30,8.838709677419354,19.571428571428573,32.25806451612903
R Sai Kishore,2025,2025,262,396,19,7,0,77,9.068702290076336,20.842105263157894,29.389312977099237
R Sanjay Yadav,2022,2022,14,23,0,2,0,6,9.857142857142856,,42.857142857142854
R Sathish,2009/10,2009,51,81,3,3,0,14,9.529411764705882,27.0,27.450980392156865
R Sathish,2011,2011,31,41,0,0,0,7,7.935483870967741,,22.58064516129032
R Sathish,2013,2013,24,52,1,0,0,2,13.0,52.0,8.333333333333332
R Sathish,2016,2016,38,59,2,2,0,8,9.31578947368421,29.5,21.052631578947366
R Sharma,2009/10,2009,126,170,6,2,0,43,8.095238095238095,28.333333333333332,34.12698412698413
R Sharma,2011,2011,302,278,17,2,0,132,5.523178807947019,16.352941176470587,43.70860927152318
R Sharma,2012,2012,224,305,9,2,0,74,8.169642857142856,33.888888888888886,33.035714285714285
R Sharma,2013,2013,247,282,9,1,0,86,6.850202429149798,31.333333333333332,34.81781376518219
R Sharma,2014,2014,36,65,1,0,0,9,10.833333333333334,65.0,25.0
R Shepherd,2022,2022,57,98,4,3,0,23,10.31578947368421,24.5,40.35087719298245
R Shepherd,2024,2024,76,162,2,4,0,18,12.789473684210527,81.0,23.684210526315788
R Shepherd,2025,2025,90,156,6,6,0,27,10.4,26.0,30.0
R Shepherd,2026,2026,102,205,5,5,1,22,12.058823529411764,41.0,21.568627450980394
R Shukla,2012,2012,19,32,0,1,0,6,10.105263157894738,,31.57894736842105
R Shukla,2013,2013,53,80,4,5,0,16,9.056603773584905,20.0,30.18867924528302
R Shukla,2014,2014,58,105,3,1,3,24,10.862068965517242,35.0,41.37931034482759
R Tewatia,2014,2014,55,59,3,1,0,21,6.4363636363636365,19.666666666666668,38.18181818181819
R Tewatia,2015,2015,18,31,2,0,0,6,10.333333333333334,15.5,33.33333333333333
R Tewatia,2017,2017,55,51,3,1,0,25,5.563636363636364,17.0,45.45454545454545
R Tewatia,2018,2018,134,174,6,2,0,41,7.791044776119404,29.0,30.597014925373134
R Tewatia,2019,2019,39,42,2,1,0,19,6.461538461538462,21.0,48.717948717948715
R Tewatia,2020/21,2020,286,327,11,8,2,96,6.860139860139861,29.727272727272727,33.56643356643357
R Tewatia,2021,2021,229,342,8,7,0,50,8.960698689956333,42.75,21.83406113537118
R Tewatia,2022,2022,36,76,1,0,0,6,12.666666666666666,76.0,16.666666666666664
R Tewatia,2023,2023,14,15,0,1,0,7,6.428571428571428,,50.0
R Vinay Kumar,2007/08,2007,141,183,7,1,2,61,7.787234042553192,26.142857142857142,43.262411347517734
R Vinay Kumar,2009,2009,199,273,9,5,0,67,8.231155778894474,30.333333333333332,33.66834170854271
R Vinay Kumar,2009/10,2009,284,404,19,5,2,106,8.535211267605634,21.263157894736842,37.32394366197183
R Vinay Kumar,2011,2011,278,345,17,10,0,110,7.446043165467626,20.294117647058822,39.568345323741006
R Vinay Kumar,2012,2012,346,488,21,9,2,129,8.46242774566474,23.238095238095237,37.283236994219656
R Vinay Kumar,2013,2013,377,522,27,7,3,130,8.307692307692307,19.333333333333332,34.48275862068966
R Vinay Kumar,2014,2014,194,294,10,2,0,63,9.092783505154639,29.4,32.47422680412371
R Vinay Kumar,2015,2015,265,371,9,3,1,96,8.4,41.22222222222222,36.22641509433962
R Vinay Kumar,2016,2016,57,65,4,3,0,26,6.842105263157895,16.25,45.614035087719294
R Vinay Kumar,2017,2017,20,31,2,2,0,6,9.299999999999999,15.5,30.0
R Vinay Kumar,2018,2018,25,65,2,1,1,8,15.6,32.5,32.0
RA Jadeja,2007/08,2007,13,21,1,0,0,6,9.692307692307693,21.0,46.15384615384615
RA Jadeja,2009,2009,144,156,6,4,0,47,6.5,26.0,32.63888888888889
RA Jadeja,2011,2011,261,307,9,9,0,92,7.057471264367816,34.111111111111114,35.24904214559387
RA Jadeja,2012,2012,216,278,12,6,0,69,7.722222222222222,23.166666666666668,31.944444444444443
RA Jadeja,2013,2013,262,326,15,2,1,98,7.465648854961833,21.733333333333334,37.404580152671755
RA Jadeja,2014,2014,332,446,20,6,0,105,8.06024096385542,22.3,31.626506024096386
RA Jadeja,2015,2015,258,334,12,2,0,88,7.767441860465116,27.833333333333332,34.10852713178294
RA Jadeja,2016,2016,247,320,9,5,1,80,7.773279352226721,35.55555555555556,32.388663967611336
RA Jadeja,2017,2017,229,352,5,1,0,60,9.222707423580786,70.4,26.200873362445414
RA Jadeja,2018,2018,250,310,12,4,0,82,7.44,25.833333333333332,32.800000000000004
RA Jadeja,2019,2019,326,347,15,2,0,128,6.386503067484663,23.133333333333333,39.263803680981596
RA Jadeja,2020/21,2020,221,318,6,3,0,56,8.633484162895927,53.0,25.339366515837103
RA Jadeja,2021,2021,300,347,13,4,2,105,6.94,26.692307692307693,35.0
RA Jadeja,2022,2022,203,252,6,5,0,65,7.448275862068965,42.0,32.01970443349754
RA Jadeja,2023,2023,348,432,20,6,0,107,7.448275862068965,21.6,30.747126436781606
RA Jadeja,2024,2024,285,371,8,2,1,75,7.810526315789474,46.375,26.31578947368421
RA Jadeja,2025,2025,232,325,10,3,2,77,8.405172413793103,32.5,33.189655172413794
RA Jadeja,2026,2026,134,176,7,2,0,41,7.880597014925374,25.142857142857142,30.597014925373134
RA Shaikh,2009,2009,6,11,0,0,0,1,11.0,,16.666666666666664
RA Tripathi,2017,2017,6,12,0,0,0,0,12.0,,0.0
RD Chahar,2017,2017,46,59,2,4,0,17,7.695652173913043,29.5,36.95652173913043
RD Chahar,2019,2019,287,310,13,5,0,125,6.480836236933798,23.846153846153847,43.55400696864111
RD Chahar,2020/21,2020,323,439,16,5,0,104,8.154798761609907,27.4375,32.19814241486068
RD Chahar,2021,2021,261,324,13,3,0,93,7.448275862068965,24.923076923076923,35.63218390804598
RD Chahar,2022,2022,290,365,14,10,0,99,7.551724137931034,26.071428571428573,34.13793103448276
RD Chahar,2023,2023,301,388,8,3,0,96,7.73421926910299,48.5,31.893687707641195
RD Chahar,2024,2024,189,280,10,2,1,56,8.88888888888889,28.0,29.629629629629626
RD Chahar,2025,2025,6,9,0,0,0,2,9.0,,33.33333333333333
RD Chahar,2026,2026,25,46,0,1,0,4,11.04,,16.0
RE van der Merwe,2009,2009,209,263,9,5,0,62,7.55023923444976,29.22222222222222,29.665071770334926
RE van der Merwe,2009/10,2009,27,27,2,3,0,8,6.0,13.5,29.629629629629626
RE van der Merwe,2011,2011,91,94,6,2,0,38,6.197802197802198,15.666666666666666,41.75824175824176
RE van der Merwe,2012,2012,61,60,4,1,0,26,5.901639344262295,15.0,42.62295081967213
RE van der Merwe,2013,2013,67,71,4,1,0,25,6.358208955223881,17.75,37.3134328358209
RG More,2015,2015,37,63,1,2,0,5,10.216216216216216,63.0,13.513513513513514
RG Sharma,2007/08,2007,25,26,1,1,0,7,6.239999999999999,26.0,28.000000000000004
RG Sharma,2009,2009,140,163,12,2,0,40,6.985714285714286,13.583333333333334,28.57142857142857
RG Sharma,2009/10,2009,119,159,2,5,0,35,8.016806722689076,79.5,29.411764705882355
RG Sharma,2011,2011,25,53,0,1,0,4,12.719999999999999,,16.0
RG Sharma,2012,2012,6,16,0,0,0,1,16.0,,16.666666666666664
RG Sharma,2013,2013,9,6,0,1,0,3,4.0,,33.33333333333333
RG Sharma,2014,2014,18,26,1,0,0,4,8.666666666666666,26.0,22.22222222222222
RG Sharma,2021,2021,7,13,0,0,0,0,11.142857142857142,,0.0
RJ Gleeson,2024,2024,51,72,1,3,1,21,8.470588235294118,72.0,41.17647058823529
RJ Gleeson,2025,2025,22,39,1,1,0,5,10.636363636363637,39.0,22.727272727272727
RJ Harris,2009,2009,192,235,6,5,1,89,7.34375,39.166666666666664,46.35416666666667
RJ Harris,2009/10,2009,195,239,15,11,0,86,7.3538461538461535,15.933333333333334,44.1025641025641
RJ Harris,2011,2011,295,401,17,13,0,122,8.155932203389831,23.58823529411765,41.35593220338983
RJ Harris,2012,2012,109,136,8,1,0,51,7.486238532110091,17.0,46.788990825688074
RJ Harris,2013,2013,74,74,1,2,0,42,6.0,74.0,56.75675675675676
RJ Peterson,2012,2012,48,70,3,0,0,21,8.75,23.333333333333332,43.75
RJW Topley,2023,2023,12,14,1,0,0,7,7.0,14.0,58.333333333333336
RJW Topley,2024,2024,95,168,4,5,0,31,10.610526315789473,42.0,32.631578947368425
RJW Topley,2025,2025,18,40,0,0,0,6,13.333333333333334,,33.33333333333333
RN ten Doeschate,2011,2011,7,7,0,1,0,0,6.0,,0.0
RN ten Doeschate,2012,2012,21,24,1,3,0,2,6.857142857142857,24.0,9.523809523809524
RN ten Doeschate,2013,2013,18,24,0,0,0,4,8.0,,22.22222222222222
RN ten Doeschate,2014,2014,30,35,1,0,0,13,7.0,35.0,43.333333333333336
RN ten Doeschate,2015,2015,7,4,1,1,0,3,3.4285714285714284,4.0,42.857142857142854
RP Meredith,2021,2021,108,171,4,5,1,38,9.5,42.75,35.18518518518518
RP Meredith,2022,2022,181,241,10,13,0,76,7.988950276243093,24.1,41.988950276243095
RP Meredith,2023,2023,126,209,7,7,1,42,9.952380952380953,29.857142857142858,33.33333333333333
RP Singh,2007/08,2007,325,459,17,16,1,132,8.473846153846154,27.0,40.61538461538461
RP Singh,2009,2009,382,430,26,17,7,179,6.7539267015706805,16.53846153846154,46.8586387434555
