bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
S Dhawan,2012,2012,37,60,3,1,0,14,9.72972972972973,20.0,37.83783783783784
S Dube,2019,2019,11,8,0,1,0,3,4.363636363636364,,27.27272727272727
S Dube,2020/21,2020,55,75,5,1,0,14,8.181818181818182,15.0,25.454545454545453
S Dube,2021,2021,31,53,0,1,0,7,10.258064516129032,,22.58064516129032
S Dube,2022,2022,14,40,0,2,0,1,17.142857142857142,,7.142857142857142
S Dube,2024,2024,6,14,1,0,0,1,14.0,14.0,16.666666666666664
S Dube,2025,2025,13,33,0,1,0,1,15.230769230769232,,7.6923076923076925
S Dube,2026,2026,19,37,1,1,0,4,11.68421052631579,37.0,21.052631578947366
S Gopal,2014,2014,85,113,6,1,0,30,7.976470588235294,18.833333333333332,35.294117647058826
S Gopal,2015,2015,13,23,1,0,0,2,10.615384615384617,23.0,15.384615384615385
S Gopal,2016,2016,18,19,0,0,0,5,6.333333333333333,,27.77777777777778
S Gopal,2018,2018,188,239,12,2,0,68,7.627659574468085,19.916666666666668,36.17021276595745
S Gopal,2019,2019,289,350,20,0,1,107,7.26643598615917,17.5,37.0242214532872
S Gopal,2020/21,2020,305,429,10,5,0,86,8.439344262295082,42.9,28.196721311475407
S Gopal,2021,2021,42,84,0,0,0,11,12.0,,26.190476190476193
S Gopal,2022,2022,18,34,1,0,0,7,11.333333333333334,34.0,38.88888888888889
S Gopal,2024,2024,42,67,3,0,0,10,9.571428571428571,22.333333333333332,23.809523809523807
S Joseph,2024,2024,30,51,0,3,3,14,10.2,,46.666666666666664
S Kaul,2013,2013,133,172,5,2,0,46,7.7593984962406015,34.4,34.58646616541353
S Kaul,2014,2014,82,136,2,4,0,27,9.951219512195122,68.0,32.926829268292686
S Kaul,2017,2017,221,303,16,6,1,69,8.226244343891402,18.9375,31.221719457013574
S Kaul,2018,2018,402,558,24,5,1,132,8.328358208955224,23.25,32.83582089552239
S Kaul,2019,2019,169,243,6,5,2,57,8.627218934911243,40.5,33.72781065088758
S Kaul,2020/21,2020,26,64,2,1,1,6,14.76923076923077,32.0,23.076923076923077
S Kaul,2021,2021,181,253,8,0,1,70,8.386740331491712,31.625,38.67403314917127
S Kaul,2022,2022,24,43,0,0,0,6,10.75,,25.0
S Kaushik,2016,2016,142,195,6,3,1,52,8.23943661971831,32.5,36.61971830985916
S Kaushik,2017,2017,68,109,0,2,0,21,9.617647058823529,,30.88235294117647
S Ladda,2009/10,2009,92,144,4,2,0,35,9.391304347826086,36.0,38.04347826086957
S Ladda,2011,2011,25,42,0,0,1,8,10.08,,32.0
S Ladda,2013,2013,12,18,1,0,0,3,9.0,18.0,25.0
S Ladda,2016,2016,12,21,0,0,0,3,10.5,,25.0
S Lamichhane,2018,2018,73,86,5,1,0,30,7.068493150684932,17.2,41.0958904109589
S Lamichhane,2019,2019,138,211,9,0,0,47,9.173913043478262,23.444444444444443,34.05797101449276
S Midhun,2019,2019,13,29,0,1,0,4,13.384615384615385,,30.76923076923077
S Nadeem,2011,2011,115,145,4,1,0,40,7.565217391304348,36.25,34.78260869565217
S Nadeem,2012,2012,275,320,8,5,0,90,6.9818181818181815,40.0,32.72727272727273
S Nadeem,2013,2013,267,264,9,3,0,100,5.932584269662922,29.333333333333332,37.453183520599254
S Nadeem,2014,2014,235,314,9,6,1,69,8.017021276595745,34.888888888888886,29.361702127659573
S Nadeem,2015,2015,44,43,0,2,0,21,5.863636363636364,,47.72727272727273
S Nadeem,2016,2016,91,127,3,1,0,31,8.373626373626374,42.333333333333336,34.065934065934066
S Nadeem,2017,2017,110,119,6,3,0,47,6.490909090909091,19.833333333333332,42.72727272727273
S Nadeem,2018,2018,92,162,5,2,0,21,10.565217391304348,32.4,22.82608695652174
S Nadeem,2019,2019,54,91,3,0,0,10,10.11111111111111,30.333333333333332,18.51851851851852
S Nadeem,2020/21,2020,137,179,6,2,3,31,7.839416058394161,29.833333333333332,22.62773722627737
S Nadeem,2021,2021,24,36,1,0,0,9,9.0,36.0,37.5
S Narwal,2009/10,2009,99,186,6,5,0,32,11.272727272727273,31.0,32.323232323232325
S Narwal,2013,2013,14,17,0,2,0,6,7.285714285714286,,42.857142857142854
S Rana,2011,2011,4,2,0,0,0,2,3.0,,50.0
S Rana,2014,2014,12,16,0,0,0,3,8.0,,25.0
S Randiv,2011,2011,180,223,8,6,0,60,7.433333333333334,27.875,33.33333333333333
S Sandeep Warrier,2019,2019,73,86,2,0,1,31,7.068493150684932,43.0,42.465753424657535
S Sandeep Warrier,2020/21,2020,21,34,0,3,0,8,9.714285714285714,,38.095238095238095
S Sandeep Warrier,2021,2021,12,15,0,0,0,6,7.5,,50.0
S Sandeep Warrier,2024,2024,70,122,6,3,1,31,10.457142857142857,20.333333333333332,44.285714285714285
S Sreesanth,2007/08,2007,332,451,19,21,4,139,8.150602409638553,23.736842105263158,41.86746987951807
S Sreesanth,2009,2009,145,196,6,4,3,64,8.110344827586207,32.666666666666664,44.13793103448276
S Sreesanth,2009/10,2009,128,191,5,7,7,49,8.953125,38.2,38.28125
S Sreesanth,2011,2011,206,212,7,10,5,103,6.174757281553398,30.285714285714285,50.0
S Sreesanth,2013,2013,136,171,6,2,4,72,7.544117647058823,28.5,52.94117647058824
S Sriram,2009/10,2009,12,24,0,0,0,2,12.0,,16.666666666666664
S Sriram,2011,2011,6,25,0,0,0,0,25.0,,0.0
S Tyagi,2009,2009,118,143,5,3,1,63,7.271186440677965,28.6,53.38983050847458
S Tyagi,2009/10,2009,102,161,1,5,2,38,9.470588235294118,161.0,37.254901960784316
S Vidyut,2007/08,2007,13,22,1,1,0,5,10.153846153846155,22.0,38.46153846153847
SA Abbott,2015,2015,32,57,0,2,0,6,10.6875,,18.75
SA Abbott,2022,2022,27,47,1,3,0,7,10.444444444444445,47.0,25.925925925925924
SA Yadav,2014,2014,6,8,0,0,0,2,8.0,,33.33333333333333
SB Bangar,2007/08,2007,153,221,6,3,0,57,8.666666666666666,36.833333333333336,37.254901960784316
SB Jakati,2009,2009,175,225,13,1,0,65,7.714285714285714,17.307692307692307,37.142857142857146
SB Jakati,2009/10,2009,232,300,15,4,0,90,7.758620689655173,20.0,38.793103448275865
SB Jakati,2011,2011,269,338,10,3,1,83,7.5390334572490705,33.8,30.855018587360593
SB Jakati,2012,2012,248,337,10,2,0,77,8.153225806451612,33.7,31.048387096774192
SB Jakati,2014,2014,22,41,0,0,0,4,11.181818181818182,,18.181818181818183
SB Jakati,2016,2016,123,181,2,2,1,33,8.829268292682928,90.5,26.82926829268293
SB Jakati,2017,2017,32,52,0,2,0,4,9.75,,12.5
SB Joshi,2007/08,2007,55,82,1,0,0,18,8.945454545454545,82.0,32.72727272727273
SB Styris,2007/08,2007,167,201,4,5,0,63,7.221556886227545,50.25,37.72455089820359
SB Styris,2009,2009,49,64,5,1,0,21,7.836734693877552,12.8,42.857142857142854
SB Styris,2011,2011,6,13,0,0,0,1,13.0,,16.666666666666664
SB Wagh,2009/10,2009,6,16,1,0,0,2,16.0,16.0,33.33333333333333
SB Wagh,2011,2011,102,131,4,6,0,48,7.705882352941177,32.75,47.05882352941176
SC Ganguly,2007/08,2007,121,132,7,1,0,50,6.545454545454545,18.857142857142858,41.32231404958678
SC Ganguly,2009,2009,73,98,2,1,0,18,8.054794520547945,49.0,24.65753424657534
SC Ganguly,2009/10,2009,25,43,0,1,0,2,10.319999999999999,,8.0
SC Ganguly,2012,2012,61,97,3,0,1,12,9.540983606557377,32.333333333333336,19.672131147540984
SC Kuggeleijn,2019,2019,50,71,2,2,0,17,8.52,35.5,34.0
SD Chitnis,2007/08,2007,38,62,2,2,0,11,9.789473684210527,31.0,28.947368421052634
SE Bond,2009/10,2009,191,225,9,5,0,76,7.068062827225131,25.0,39.79057591623037
SE Rutherford,2019,2019,46,60,1,5,0,8,7.826086956521739,60.0,17.391304347826086
SH Johnson,2024,2024,99,155,4,3,0,35,9.393939393939394,38.75,35.35353535353536
SH Johnson,2025,2025,73,134,1,5,0,26,11.013698630136988,134.0,35.61643835616438
SJ Srivastava,2009/10,2009,178,257,6,16,0,56,8.662921348314606,42.833333333333336,31.46067415730337
SJ Srivastava,2011,2011,128,187,9,7,1,51,8.765625,20.77777777777778,39.84375
SK Raina,2007/08,2007,20,30,2,0,0,4,9.0,15.0,20.0
SK Raina,2009,2009,167,169,8,1,0,62,6.07185628742515,21.125,37.12574850299401
SK Raina,2009/10,2009,147,181,7,4,0,43,7.387755102040816,25.857142857142858,29.25170068027211
SK Raina,2011,2011,173,209,5,8,0,68,7.248554913294798,41.8,39.30635838150289
SK Raina,2012,2012,85,106,2,1,0,22,7.482352941176471,53.0,25.882352941176475
SK Raina,2013,2013,12,23,1,0,0,2,11.5,23.0,16.666666666666664
SK Raina,2014,2014,109,135,1,1,0,35,7.431192660550458,135.0,32.11009174311927
SK Raina,2015,2015,78,94,3,6,0,25,7.230769230769231,31.333333333333332,32.05128205128205
SK Raina,2016,2016,61,84,0,1,0,17,8.262295081967213,,27.86885245901639
SK Raina,2017,2017,72,102,1,0,0,20,8.5,102.0,27.77777777777778
SK Raina,2019,2019,6,6,0,0,0,1,6.0,,16.666666666666664
SK Trivedi,2007/08,2007,300,407,15,11,1,109,8.14,27.133333333333333,36.333333333333336
SK Trivedi,2009,2009,123,152,6,2,1,43,7.414634146341464,25.333333333333332,34.959349593495936
SK Trivedi,2009/10,2009,218,266,13,4,1,75,7.321100917431192,20.46153846153846,34.403669724770644
SK Trivedi,2011,2011,224,307,13,7,3,71,8.223214285714285,23.615384615384617,31.69642857142857
SK Trivedi,2012,2012,324,387,14,9,3,97,7.166666666666667,27.642857142857142,29.938271604938272
SK Trivedi,2013,2013,368,425,12,9,0,135,6.929347826086956,35.416666666666664,36.684782608695656
SK Warne,2007/08,2007,319,409,20,7,0,112,7.692789968652038,20.45,35.10971786833856
SK Warne,2009,2009,313,369,14,13,0,113,7.073482428115017,26.357142857142858,36.102236421725244
SK Warne,2009/10,2009,305,389,12,5,0,99,7.6524590163934425,32.416666666666664,32.459016393442624
SK Warne,2011,2011,286,298,14,4,0,118,6.251748251748252,21.285714285714285,41.25874125874126
SL Malinga,2009,2009,326,334,21,26,3,153,6.147239263803681,15.904761904761905,46.93251533742331
SL Malinga,2009/10,2009,310,360,17,16,0,125,6.967741935483871,21.176470588235293,40.32258064516129
SL Malinga,2011,2011,397,393,30,16,3,196,5.9395465994962215,13.1,49.37027707808564
SL Malinga,2012,2012,351,355,25,17,1,148,6.068376068376068,14.2,42.16524216524217
SL Malinga,2013,2013,402,484,23,8,2,162,7.223880597014926,21.043478260869566,40.298507462686565
SL Malinga,2014,2014,243,267,17,7,1,105,6.592592592592593,15.705882352941176,43.20987654320987
SL Malinga,2015,2015,378,453,26,14,4,150,7.190476190476191,17.423076923076923,39.682539682539684
SL Malinga,2017,2017,287,388,11,16,2,96,8.11149825783972,35.27272727272727,33.44947735191638
SL Malinga,2019,2019,280,452,18,9,2,93,9.685714285714287,25.11111111111111,33.214285714285715
SM Boland,2016,2016,43,56,3,1,0,15,7.813953488372093,18.666666666666668,34.883720930232556
SM Curran,2019,2019,207,325,11,8,1,61,9.420289855072463,29.545454545454547,29.468599033816425
SM Curran,2020/21,2020,265,348,14,11,2,91,7.879245283018868,24.857142857142858,34.33962264150943
SM Curran,2021,2021,209,332,10,9,2,78,9.531100478468899,33.2,37.32057416267943
SM Curran,2023,2023,299,497,11,11,1,86,9.97324414715719,45.18181818181818,28.762541806020064
SM Curran,2024,2024,254,422,16,7,1,84,9.968503937007874,26.375,33.07086614173229
SM Curran,2025,2025,74,135,1,2,0,18,10.945945945945946,135.0,24.324324324324326
SM Harwood,2009,2009,67,74,3,7,0,34,6.6268656716417915,24.666666666666668,50.74626865671642
SM Pollock,2007/08,2007,280,307,13,4,0,132,6.578571428571429,23.615384615384617,47.14285714285714
SMSM Senanayake,2013,2013,195,211,9,3,0,75,6.492307692307692,23.444444444444443,38.46153846153847
SN Khan,2019,2019,2,6,0,0,0,0,18.0,,0.0
SN Thakur,2015,2015,20,39,1,2,0,6,11.7,39.0,30.0
SN Thakur,2017,2017,239,319,13,10,0,89,8.00836820083682,24.53846153846154,37.238493723849366
SN Thakur,2018,2018,295,433,17,15,0,113,8.80677966101695,25.470588235294116,38.30508474576271
SN Thakur,2019,2019,190,285,9,10,0,65,9.0,31.666666666666668,34.21052631578947
SN Thakur,2020/21,2020,203,279,10,7,2,69,8.246305418719212,27.9,33.99014778325123
SN Thakur,2021,2021,388,531,22,27,2,138,8.211340206185566,24.136363636363637,35.56701030927835
SN Thakur,2022,2022,315,485,16,24,1,109,9.238095238095237,30.3125,34.6031746031746
SN Thakur,2023,2023,132,222,7,4,2,35,10.090909090909092,31.714285714285715,26.515151515151516
SN Thakur,2024,2024,197,315,5,4,3,50,9.593908629441623,63.0,25.380710659898476
SN Thakur,2025,2025,226,376,15,21,1,61,9.982300884955754,25.066666666666666,26.991150442477874
SN Thakur,2026,2026,98,190,6,14,0,17,11.63265306122449,31.666666666666668,17.346938775510203
SP Narine,2012,2012,357,332,29,2,0,169,5.579831932773109,11.448275862068966,47.33893557422969
SP Narine,2013,2013,387,353,26,3,0,183,5.4728682170542635,13.576923076923077,47.286821705426355
SP Narine,2014,2014,392,432,22,0,2,168,6.612244897959184,19.636363636363637,42.857142857142854
SP Narine,2015,2015,196,246,7,4,0,80,7.530612244897959,35.142857142857146,40.816326530612244
SP Narine,2016,2016,262,310,13,6,0,113,7.099236641221374,23.846153846153847,43.12977099236641
SP Narine,2017,2017,362,412,12,8,0,133,6.828729281767956,34.333333333333336,36.74033149171271
SP Narine,2018,2018,371,473,17,5,0,137,7.649595687331536,27.823529411764707,36.92722371967655
SP Narine,2019,2019,273,353,11,7,0,96,7.758241758241758,32.09090909090909,35.16483516483517
SP Narine,2020/21,2020,230,308,6,2,0,67,8.034782608695652,51.333333333333336,29.130434782608695
SP Narine,2021,2021,344,369,18,6,2,131,6.436046511627906,20.5,38.08139534883721
SP Narine,2022,2022,342,319,10,6,0,142,5.5964912280701755,31.9,41.52046783625731
SP Narine,2023,2023,296,389,11,8,0,87,7.885135135135135,35.36363636363637,29.39189189189189
SP Narine,2024,2024,334,376,18,4,0,127,6.754491017964072,20.88888888888889,38.02395209580838
SP Narine,2025,2025,275,357,12,3,2,90,7.789090909090909,29.75,32.72727272727273
SP Narine,2026,2026,189,215,11,0,0,82,6.825396825396825,19.545454545454547,43.386243386243386
SPD Smith,2012,2012,2,5,0,0,0,0,15.0,,0.0
SR Tendulkar,2009,2009,37,59,0,1,0,5,9.567567567567567,,13.513513513513514
SR Watson,2007/08,2007,344,395,20,14,5,168,6.88953488372093,19.75,48.837209302325576
SR Watson,2009/10,2009,139,185,7,7,0,62,7.985611510791366,26.428571428571427,44.60431654676259
SR Watson,2011,2011,226,248,8,9,1,86,6.5840707964601775,31.0,38.05309734513274
SR Watson,2012,2012,144,165,6,5,1,67,6.875,27.5,46.52777777777778
SR Watson,2013,2013,256,319,16,6,0,114,7.4765625,19.9375,44.53125
SR Watson,2014,2014,134,169,7,5,3,64,7.567164179104478,24.142857142857142,47.76119402985074
SR Watson,2015,2015,193,273,8,17,2,66,8.487046632124352,34.125,34.196891191709845
SR Watson,2016,2016,360,490,23,20,1,125,8.166666666666666,21.304347826086957,34.72222222222222
SR Watson,2017,2017,165,246,5,4,0,48,8.945454545454545,49.2,29.09090909090909
SR Watson,2018,2018,176,252,7,8,0,57,8.590909090909092,36.0,32.38636363636363
SS Agarwal,2017,2017,24,42,1,0,0,7,10.5,42.0,29.166666666666668
SS Cottrell,2020/21,2020,131,177,6,11,0,59,8.106870229007635,29.5,45.038167938931295
SS Iyer,2022,2022,6,7,0,0,0,4,7.0,,66.66666666666666
SS Mundhe,2011,2011,7,6,1,1,0,4,5.142857142857142,6.0,57.14285714285714
SS Sarkar,2009,2009,25,34,1,0,0,4,8.16,34.0,16.0
SSB Magala,2023,2023,37,52,1,1,0,6,8.432432432432432,52.0,16.216216216216218
ST Jayasuriya,2007/08,2007,127,163,5,1,0,37,7.700787401574803,32.6,29.133858267716533
ST Jayasuriya,2009,2009,119,165,8,5,0,30,8.319327731092438,20.625,25.210084033613445
ST Jayasuriya,2009/10,2009,55,68,3,1,0,19,7.418181818181819,22.666666666666668,34.54545454545455
STR Binny,2009/10,2009,6,9,0,0,0,0,9.0,,0.0
STR Binny,2011,2011,25,44,0,1,0,1,10.559999999999999,,4.0
STR Binny,2012,2012,60,78,3,0,0,15,7.8,26.0,25.0
STR Binny,2013,2013,149,163,7,5,0,58,6.5637583892617455,23.285714285714285,38.92617449664429
STR Binny,2014,2014,54,65,4,0,0,19,7.222222222222222,16.25,35.18518518518518
STR Binny,2015,2015,119,143,8,5,0,59,7.2100840336134455,17.875,49.57983193277311
STR Binny,2016,2016,104,134,1,2,0,28,7.730769230769232,134.0,26.923076923076923
STR Binny,2017,2017,37,50,4,1,0,9,8.108108108108107,12.5,24.324324324324326
STR Binny,2018,2018,14,33,0,1,1,3,14.142857142857142,,21.428571428571427
STR Binny,2019,2019,43,44,1,1,0,13,6.13953488372093,44.0,30.23255813953488
SW Tait,2009/10,2009,205,274,12,17,1,81,8.019512195121951,22.833333333333332,39.51219512195122
SW Tait,2011,2011,102,137,6,7,6,54,8.058823529411764,22.833333333333332,52.94117647058824
SW Tait,2012,2012,157,154,7,18,2,69,5.885350318471337,22.0,43.94904458598726
SW Tait,2013,2013,70,103,1,10,0,25,8.82857142857143,103.0,35.714285714285715
SZ Mulani,2024,2024,33,57,0,3,0,7,10.363636363636363,,21.21212121212121
Sachin Baby,2016,2016,10,8,3,0,0,5,4.8,2.6666666666666665,50.0
Sakib Hussain,2026,2026,172,243,10,15,1,52,8.476744186046512,24.3,30.23255813953488
Sandeep Sharma,2013,2013,98,130,8,0,2,47,7.959183673469388,16.25,47.95918367346938
Sandeep Sharma,2014,2014,255,358,19,11,3,113,8.423529411764706,18.842105263157894,44.31372549019608
Sandeep Sharma,2015,2015,311,359,13,10,1,148,6.92604501607717,27.615384615384617,47.58842443729904
Sandeep Sharma,2016,2016,309,374,19,9,0,132,7.262135922330097,19.68421052631579,42.71844660194174
Sandeep Sharma,2017,2017,300,402,17,11,1,120,8.04,23.647058823529413,40.0
Sandeep Sharma,2018,2018,273,334,14,9,0,116,7.34065934065934,23.857142857142858,42.49084249084249
Sandeep Sharma,2019,2019,265,355,13,9,0,82,8.037735849056604,27.307692307692307,30.943396226415093
Sandeep Sharma,2020/21,2020,317,374,14,5,0,119,7.078864353312302,26.714285714285715,37.53943217665615
Sandeep Sharma,2021,2021,145,204,3,3,1,52,8.441379310344827,68.0,35.86206896551724
Sandeep Sharma,2022,2022,126,156,3,6,0,60,7.428571428571429,52.0,47.61904761904761
Sandeep Sharma,2023,2023,290,398,15,10,4,99,8.23448275862069,26.533333333333335,34.13793103448276
Sandeep Sharma,2024,2024,236,314,15,8,0,75,7.983050847457626,20.933333333333334,31.779661016949152
Sandeep Sharma,2025,2025,243,376,10,19,1,54,9.283950617283951,37.6,22.22222222222222
Sandeep Sharma,2026,2026,109,182,6,9,0,29,10.01834862385321,30.333333333333332,26.605504587155966
Shahbaz Ahmed,2020/21,2020,37,45,2,1,0,9,7.297297297297297,22.5,24.324324324324326
Shahbaz Ahmed,2021,2021,84,92,7,0,0,21,6.571428571428571,13.142857142857142,25.0
Shahbaz Ahmed,2022,2022,220,341,4,9,1,59,9.3,85.25,26.81818181818182
Shahbaz Ahmed,2023,2023,42,95,1,0,0,9,13.571428571428571,95.0,21.428571428571427
Shahbaz Ahmed,2024,2024,166,277,7,0,1,52,10.012048192771084,39.57142857142857,31.32530120481928
Shahbaz Ahmed,2025,2025,56,103,1,5,0,11,11.035714285714285,103.0,19.642857142857142
Shahbaz Ahmed,2026,2026,6,16,0,0,0,0,16.0,,0.0
Shahid Afridi,2007/08,2007,185,237,9,4,1,66,7.686486486486487,26.333333333333332,35.67567567567568
Shakib Al Hasan,2011,2011,158,177,11,5,0,61,6.7215189873417724,16.09090909090909,38.607594936708864
Shakib Al Hasan,2012,2012,185,203,12,5,0,72,6.583783783783784,16.916666666666668,38.91891891891892
Shakib Al Hasan,2014,2014,307,339,15,7,0,118,6.625407166123779,22.6,38.43648208469055
Shakib Al Hasan,2015,2015,89,123,5,5,0,34,8.292134831460674,24.6,38.20224719101123
Shakib Al Hasan,2016,2016,190,247,5,4,0,61,7.8,49.4,32.10526315789474
Shakib Al Hasan,2017,2017,18,34,0,0,0,7,11.333333333333334,,38.88888888888889
Shakib Al Hasan,2018,2018,345,458,16,3,0,98,7.965217391304348,28.625,28.405797101449277
Shakib Al Hasan,2019,2019,66,95,2,1,0,22,8.636363636363637,47.5,33.33333333333333
Shakib Al Hasan,2021,2021,157,188,5,1,0,50,7.184713375796178,37.6,31.84713375796178
Shashank Singh,2022,2022,13,20,0,1,0,1,9.230769230769232,,7.6923076923076925
Shashank Singh,2024,2024,6,5,1,0,0,1,5.0,5.0,16.666666666666664
Shashank Singh,2025,2025,12,27,0,0,0,3,13.5,,25.0
Shashank Singh,2026,2026,31,39,3,1,0,10,7.548387096774193,13.0,32.25806451612903
Shivam Mavi,2018,2018,179,273,7,10,1,64,9.150837988826815,39.0,35.754189944134076
Shivam Mavi,2020/21,2020,162,214,9,6,0,63,7.925925925925926,23.77777777777778,38.88888888888889
Shivam Mavi,2021,2021,204,242,12,8,3,92,7.117647058823529,20.166666666666668,45.09803921568628
Shivam Mavi,2022,2022,142,229,5,8,2,49,9.676056338028168,45.8,34.50704225352113
Shivam Sharma,2014,2014,96,121,3,0,0,34,7.5625,40.333333333333336,35.41666666666667
Shivam Sharma,2015,2015,18,44,1,0,0,3,14.666666666666666,44.0,16.666666666666664
Shivang Kumar,2026,2026,183,286,10,3,0,52,9.37704918032787,28.6,28.415300546448087
Shoaib Ahmed,2009,2009,103,154,5,1,0,35,8.970873786407767,30.8,33.980582524271846
Shoaib Akhtar,2007/08,2007,46,54,5,4,0,23,7.0434782608695645,10.8,50.0
Shoaib Malik,2007/08,2007,58,87,2,6,1,17,9.0,43.5,29.310344827586203
Sikandar Raza,2023,2023,76,124,3,3,1,21,9.789473684210527,41.333333333333336,27.631578947368425
Sikandar Raza,2024,2024,12,22,0,0,0,2,11.0,,16.666666666666664
Simarjeet Singh,2022,2022,113,143,4,4,1,57,7.592920353982302,35.75,50.442477876106196
Simarjeet Singh,2024,2024,80,122,6,8,0,28,9.15,20.333333333333332,35.0
Simarjeet Singh,2025,2025,63,146,2,2,1,22,13.904761904761905,73.0,34.92063492063492
Sohail Tanvir,2007/08,2007,265,275,24,17,1,131,6.226415094339623,11.458333333333334,49.43396226415094
Sumit Kumar,2024,2024,22,38,0,2,0,4,10.363636363636363,,18.181818181818183
Sunny Gupta,2012,2012,19,47,0,1,0,0,14.842105263157896,,0.0
Suryansh Shedge,2025,2025,19,40,0,0,1,1,12.631578947368421,,5.263157894736842
Suyash Sharma,2023,2023,239,330,11,4,1,83,8.284518828451882,30.0,34.72803347280335
Suyash Sharma,2024,2024,25,51,0,1,0,5,12.239999999999998,,20.0
Suyash Sharma,2025,2025,305,454,9,5,0,102,8.931147540983606,50.44444444444444,33.442622950819676
Suyash Sharma,2026,2026,185,252,7,6,0,61,8.172972972972973,36.0,32.972972972972975
Swapnil Singh,2016,2016,18,29,0,0,0,3,9.666666666666666,,16.666666666666664
Swapnil Singh,2017,2017,43,61,1,1,0,7,8.511627906976743,61.0,16.27906976744186
Swapnil Singh,2023,2023,12,18,0,0,0,2,9.0,,16.666666666666664
Swapnil Singh,2024,2024,92,133,6,1,1,27,8.67391304347826,22.166666666666668,29.347826086956523
T Henderson,2009,2009,36,41,1,0,0,15,6.833333333333333,41.0,41.66666666666667
T Natarajan,2017,2017,82,116,2,6,0,25,8.487804878048781,58.0,30.48780487804878
T Natarajan,2020/21,2020,389,520,19,11,1,136,8.02056555269923,27.36842105263158,34.96143958868895
T Natarajan,2021,2021,50,70,2,2,0,14,8.399999999999999,35.0,28.000000000000004
T Natarajan,2022,2022,272,410,20,14,0,82,9.044117647058822,20.5,30.14705882352941
T Natarajan,2023,2023,276,416,13,6,0,75,9.043478260869565,32.0,27.173913043478258
T Natarajan,2024,2024,332,469,20,24,0,112,8.475903614457831,23.45,33.734939759036145
T Natarajan,2025,2025,25,53,1,0,0,5,12.719999999999999,53.0,20.0
T Natarajan,2026,2026,205,357,6,14,0,43,10.448780487804878,59.5,20.975609756097562
T Shamsi,2016,2016,96,151,3,0,0,30,9.4375,50.333333333333336,31.25
T Shamsi,2021,2021,24,34,0,0,0,2,8.5,,8.333333333333332
T Stubbs,2023,2023,12,14,1,0,0,3,7.0,14.0,25.0
T Stubbs,2024,2024,13,15,3,1,0,6,6.923076923076923,5.0,46.15384615384615
T Stubbs,2025,2025,12,40,0,0,0,3,20.0,,25.0
T Thushara,2009,2009,50,61,3,2,0,20,7.319999999999999,20.333333333333332,40.0
T Thushara,2009/10,2009,94,103,7,5,2,40,6.574468085106383,14.714285714285714,42.5531914893617
TA Boult,2015,2015,181,239,10,13,0,74,7.922651933701657,23.9,40.88397790055249
TA Boult,2016,2016,26,39,1,2,0,11,9.0,39.0,42.30769230769231
TA Boult,2017,2017,148,222,5,5,0,58,9.0,44.4,39.189189189189186
TA Boult,2018,2018,327,476,20,10,1,118,8.73394495412844,23.8,36.08562691131498
TA Boult,2019,2019,120,163,5,6,0,44,8.15,32.6,36.666666666666664
TA Boult,2020/21,2020,354,473,26,6,0,157,8.016949152542374,18.192307692307693,44.35028248587571
TA Boult,2021,2021,317,409,14,8,1,138,7.7413249211356465,29.214285714285715,43.53312302839117
TA Boult,2022,2022,387,501,18,15,0,176,7.767441860465116,27.833333333333332,45.47803617571059
TA Boult,2023,2023,235,316,13,7,0,107,8.068085106382979,24.307692307692307,45.53191489361702
TA Boult,2024,2024,333,448,16,13,0,137,8.072072072072071,28.0,41.14114114114114
TA Boult,2025,2025,357,520,23,11,0,127,8.739495798319327,22.608695652173914,35.57422969187675
TA Boult,2026,2026,107,188,2,10,0,25,10.542056074766355,94.0,23.364485981308412
TG Southee,2011,2011,119,167,4,5,0,44,8.420168067226891,41.75,36.97478991596639
TG Southee,2014,2014,63,78,0,3,0,27,7.428571428571429,,42.857142857142854
TG Southee,2015,2015,175,255,9,6,1,73,8.742857142857142,28.333333333333332,41.714285714285715
TG Southee,2016,2016,268,333,9,10,0,103,7.455223880597015,37.0,38.43283582089552
TG Southee,2017,2017,66,97,3,5,1,22,8.818181818181818,32.333333333333336,33.33333333333333
TG Southee,2018,2018,183,263,8,8,1,59,8.62295081967213,32.875,32.240437158469945
TG Southee,2019,2019,58,123,1,4,0,19,12.724137931034484,123.0,32.758620689655174
TG Southee,2021,2021,74,95,5,2,0,23,7.702702702702703,19.0,31.08108108108108
TG Southee,2022,2022,220,284,16,9,1,94,7.745454545454546,17.75,42.72727272727273
TG Southee,2023,2023,36,79,2,0,0,12,13.166666666666666,39.5,33.33333333333333
TH David,2026,2026,6,18,0,0,0,1,18.0,,16.666666666666664
TK Curran,2018,2018,64,118,6,1,2,15,11.0625,19.666666666666668,23.4375
TK Curran,2020/21,2020,116,210,3,6,1,25,10.862068965517242,70.0,21.551724137931032
TK Curran,2021,2021,72,104,4,4,0,19,8.666666666666666,26.0,26.38888888888889
TL Suman,2009,2009,91,108,6,0,1,32,7.120879120879121,18.0,35.16483516483517
TL Suman,2009/10,2009,13,24,0,0,1,2,11.076923076923078,,15.384615384615385
TL Suman,2011,2011,36,50,0,0,0,7,8.333333333333334,,19.444444444444446
TL Suman,2013,2013,12,16,1,0,0,4,8.0,16.0,33.33333333333333
